tijdstip,locatie,component,waarde,LKI
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO2,17.3,2
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,FN,1.07,2
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,O3,27.2,2
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO,0.3,1
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,CO,257.6,2
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NOx,11.7,
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM25,19,3
2015-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM10,22.5,3
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO2,15.4,2
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,FN,1.08,2
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,O3,28.6,2
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO,0.3,1
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,CO,253.1,2
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NOx,10.4,
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM25,18.6,3
2015-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM10,23.7,3
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO2,14.4,2
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,FN,1.06,2
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,O3,29,2
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO,0,1
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,CO,256.1,2
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NOx,9.4,
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM25,22.2,4
2015-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM10,20.1,3
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO2,13.4,2
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,FN,1,2
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,O3,30.4,3
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO,0.1,1
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,CO,263.2,2
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NOx,8.9,
2015-12-31 04:00:00+01:00,Amsterdam-Vondelpark,PM25,17.4,3
