tijdstip,locatie,component,waarde,LKI
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO2,10.1,2
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM25,10.9,2
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,PM10,26.5,3
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,FN,0.98,1
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,O3,38.6,3
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,NO,1.6,1
2014-12-31 01:00:00+01:00,Amsterdam-Vondelpark,CO,269.2,2
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO2,9.4,1
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM25,10.8,2
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,PM10,28.9,3
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,FN,1.01,2
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,O3,36.3,3
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,NO,1.6,1
2014-12-31 02:00:00+01:00,Amsterdam-Vondelpark,CO,266.6,2
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO2,9.4,1
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM25,12.2,2
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,PM10,26.1,3
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,FN,1.03,2
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,O3,32.6,3
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,NO,1.6,1
2014-12-31 03:00:00+01:00,Amsterdam-Vondelpark,CO,259.2,2
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO2,9.6,1
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,PM25,16.1,3
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,PM10,34.3,4
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,FN,0.99,1
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,NO,1.7,1
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,CO,258.8,2
2014-12-31 04:00:00+01:00,Amsterdam-Vondelpark,O3,30.5,3
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,NO2,8.4,1
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,PM25,12.6,2
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,PM10,30.1,4
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,FN,0.97,1
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,NO,1.5,1
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,CO,263.6,2
2014-12-31 05:00:00+01:00,Amsterdam-Vondelpark,O3,27.5,2
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,NO2,9.1,1
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,PM25,13.3,2
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,PM10,29.2,3
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,FN,1.04,2
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,NO,1.7,1
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,CO,252.7,2
2014-12-31 06:00:00+01:00,Amsterdam-Vondelpark,O3,23.6,2
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,NO2,12.8,2
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,PM25,12,2
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,PM10,26.5,3
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,FN,1.11,2
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,NO,2.1,1
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,CO,280.6,2
2014-12-31 07:00:00+01:00,Amsterdam-Vondelpark,O3,21.7,2
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,NO2,18.2,2
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,PM25,11,2
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,PM10,24.9,3
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,FN,1.24,2
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,NO,2.2,1
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,CO,318.3,2
2014-12-31 08:00:00+01:00,Amsterdam-Vondelpark,O3,16.2,2
2014-12-31 09:00:00+01:00,Amsterdam-Vondelpark,NO2,36.5,4
