tijdstip,waarde
2017-12-31 00:0,33
2017-12-31 01:0,42
2017-12-31 02:0,30
2017-12-31 03:0,22
2017-12-31 04:0,17
2017-12-31 05:0,17
2017-12-31 06:0,8
2017-12-31 07:0,8
2017-12-31 08:0,8
2017-12-31 09:0,6
2017-12-31 10:0,7
2017-12-31 11:0,9
2017-12-31 12:0,4
2017-12-31 13:0,3
2017-12-31 14:0,3
2017-12-31 15:0,1
2017-12-31 16:0,3
2017-12-31 17:0,5
2017-12-31 18:0,6
2017-12-31 19:0,5
2017-12-31 20:0,7
2017-12-31 21:0,14
2017-12-31 22:0,25
2017-12-31 23:0,22
2018-01-01 00:0,23
2018-01-01 01:0,88
2018-01-01 02:0,54
2018-01-01 03:0,20
2018-01-01 04:0,9
2018-01-01 05:0,4
2018-01-01 06:0,4
2018-01-01 07:0,8
2018-01-01 08:0,10
2018-01-01 09:0,10
2018-01-01 10:0,7
2018-01-01 11:0,10
2018-01-01 12:0,10
2018-01-01 13:0,15
2018-01-01 14:0,13
2018-01-01 15:0,12
2018-01-01 16:0,11
2018-01-01 17:0,19
2018-01-01 18:0,14
2018-01-01 19:0,8
2018-01-01 20:0,10
2018-01-01 21:0,10
2018-01-01 22:0,7
2018-01-01 23:0,7
